회사명,면접질문,면접답변 혹은 면접느낌,subjects
SK텔레콤,['그룹끼리 협동하여 도전하는 모습을 보여줘야하는 과제들이 굉장히 많이 출제됨'],,{}
SK텔레콤,['딱히 기술적인 질문 중에 기억나는 건 없고 대부분 간단한 기술 질문 이었기 때문에 어렵지 않앗습니다'],"임원 면접 중 한분이 굉장히 예의가 없는 분인 것 같았습니다. 면접 중 전화 받고 왔다갔다 거리고 정신 이 없었네요 채용방식 인/적성검사, 스킬테스트, 개인면접",{}
SK텔레콤,"['그동안의 이직 사유, 기억에 남는 프로젝트, 입사하면 하고 싶은 일']","면접 경험은 좋았지만 HR 측의 일처리가 너무 느리고 답답하다. 채용방식 인/적성검사, 스킬테스트, 개인면접",{}
SK텔레콤,['우리 회사 (팀 관련)제품을 사용해봤는지? 어떻게 생각하는지?'],"아는 부분 안에서 솔직하게 대답했고, 긍정적으로 피드백해주셨다. 같이 일 할 상사분이 면접에 들어오 셔서, 같이 일하기 괜찮은 사람인지를 많이 본 것 같다. 채용방식 인/적성검사, 개인면접",{}
SK텔레콤,"['1. 지금까지 해온 일과 다른 분야에 지원한 이유.', '2. 해왔던 일 중에 어려웠던 점, 새로운 점.', '3. 과제를 어떻게 해결했는지 설명']","과제를 준 뒤 하는 면접이라서 과제에 집중 하는 줄 알았지만, 오히려 자소서에 집중하여 질문. 채용방식 인/적성검사, 스킬테스트, 개인면접",{}
SK텔레콤,['우리 회사에 입사해야 하는 이유는? 우리 회사에 대해 아는 게 어느 정도?'],"어렵지 않은 질문으로 솔직히 대답, 어려운 질문 없었음 합격 보통 도움이 돼요 0",{}
SK텔레콤,"['1차면접에서 먼저 자신의 경력 위주의 내용을 PT로 발표 후', '본인 경력 위주의 해온 기술적인 경험을 구체적으로 질문과 답변이 오고감.', '2차 면접은 아직 1차 결과 대기중임.']",전체적으로 매우 부드럽고 차분하게 진행되었습니다만 면접 시간이 30분밖에 되지 않아 시간이 좀 부족한 느낌이었습니다. 채용방식 PT면접,{}
SK텔레콤,['자신이 그동안 해왔던 실무 경험을 상세히 설명해주세요.'],자신의 커리어를 설명할 수 있게 면접 전 리마인드가 필요 할 것 같습니다. 좋은 회사에 대한 긴장감 풀 고 면접에 임하세요. 채용방식 개인면접,{}
SK텔레콤,"['가장 힘들었던 순간은 언제인가요?', '동료와 트러블 경험은?']","다들 젠틀했고 편하게 진행해주려고 하는게 느껴졌습니다. 채용방식 필기시험, 스킬테스트, 개인면접",{}
SK텔레콤,"['자소서에 작성된 경험들이 지원한 직무와는 거리가 멀어보인다. 제대로 작성한 것이 맞나?', '개인 PT 및 그룹 PT 질문 등등']","비대면으로 자택에서 아침 8시 30분부터 저녁 6시 30분까지 점심시간 1시간 포함 10시간 동안 진행되 었습니다. 실제 면접 시작은 9시 부터 무작위로 진행되었으며, 저는 9시 30분경 첫 면접으로 1:1 인성 면접을 30분간 치렀습니다. 다시 30분 대기 후 30분간 직무 2:1로 직무 면접을 진행하였으며 직후에 개인 2가지 주제에 대한 개인 PT면접을 진행하였습니다. 진행 후 1시간동안 점심식사 겸 휴식을 진행 하였고, 오후에는 무작위로 분배된 4인 팀으로서 그룹 PT를 진행하였습니다. 주어진 상황에 대해 직무 담당자로서 해결 방안을 PPT로 작성하여 발표하는 것이었고, 역할 분담부터 발표까지 모든 과정이 평 가되었습니다. 두 차례의 그룹 PT과제 후 마지막 과제로 오늘 진행한 답변 중 아쉬운 답변이 있으면 보 충해서 다시 적으라는 문항이 인상적이었습니다. 전반적으로 PT주제가 실제 업무에서 다루는 내용과 상황들이 대부분이어서 직무 능력이 출중해야 완벽하게 대비 가능하다는 느낌을 받았고, 팀 PT발표는 독보적으로 잘 하려는 느낌보다 팀원과 적절하게 화합을 중시하는 느낌을 받았습니다. 10시간 동안 진 행된 면접이라 매우 피곤했지만 얻는 것이 많은 면접 경험이었습니다. 채용방식 인/적성검사, 케이스 면접, PT면접, 그룹면접, 토론면접, 개인면접",{}
